cv_fold,snp_count,model,score
19,100,Random Forest,0.64
19,100,SVR,0.75
19,500,Ridge,0.83
19,500,Lasso,0.63
19,500,ElasticNet,0.84
19,500,Random Forest,0.66
19,500,SVR,0.83
19,2000,Ridge,0.79
19,2000,Lasso,0.63
19,2000,ElasticNet,0.83
19,2000,Random Forest,0.62
19,2000,SVR,0.89
19,5000,Ridge,0.85
19,5000,Lasso,0.55
19,5000,ElasticNet,0.82
19,5000,Random Forest,0.66
19,5000,SVR,0.88
19,10000,Ridge,0.89
19,10000,Lasso,0.55
19,10000,ElasticNet,0.85
19,10000,Random Forest,0.67
19,10000,SVR,0.89
19,All,Ridge,0.36
19,All,Lasso,0.36
19,All,ElasticNet,0.64
19,All,Random Forest,0.33
19,All,SVR,0.34
20,10,Ridge,0.72
20,10,Lasso,0.74
20,10,ElasticNet,0.74
20,10,Random Forest,0.63
20,10,SVR,0.69
20,52,Ridge,0.84
20,52,Lasso,0.73
20,52,ElasticNet,0.84
20,52,Random Forest,0.84
20,52,SVR,0.82
20,100,Ridge,0.85
20,100,Lasso,0.73
20,100,ElasticNet,0.85
20,100,Random Forest,0.85
20,100,SVR,0.83
20,500,Ridge,0.77
20,500,Lasso,0.7
20,500,ElasticNet,0.85
20,500,Random Forest,0.84
20,500,SVR,0.86
20,2000,Ridge,0.77
20,2000,Lasso,0.72
20,2000,ElasticNet,0.9
20,2000,Random Forest,0.82
20,2000,SVR,0.93
20,5000,Ridge,0.88
20,5000,Lasso,0.68
20,5000,ElasticNet,0.9
20,5000,Random Forest,0.82
20,5000,SVR,0.92
20,10000,Ridge,0.91
20,10000,Lasso,0.68
20,10000,ElasticNet,0.91
20,10000,Random Forest,0.82
20,10000,SVR,0.94
20,All,Ridge,0.53
20,All,Lasso,0.58
20,All,ElasticNet,0.7
20,All,Random Forest,0.55
20,All,SVR,0.59
21,10,Ridge,0.79
21,10,Lasso,0.8
21,10,ElasticNet,0.79
21,10,Random Forest,0.76
21,10,SVR,0.75
21,52,Ridge,0.73
21,52,Lasso,0.75
21,52,ElasticNet,0.75
21,52,Random Forest,0.66
21,52,SVR,0.72
21,100,Ridge,0.78
21,100,Lasso,0.74
21,100,ElasticNet,0.79
21,100,Random Forest,0.72
21,100,SVR,0.77
21,500,Ridge,0.8
21,500,Lasso,0.77
21,500,ElasticNet,0.87
21,500,Random Forest,0.79
21,500,SVR,0.84
21,2000,Ridge,0.68
21,2000,Lasso,0.73
21,2000,ElasticNet,0.82
21,2000,Random Forest,0.77
21,2000,SVR,0.85
21,5000,Ridge,0.88
21,5000,Lasso,0.69
21,5000,ElasticNet,0.83
21,5000,Random Forest,0.77
21,5000,SVR,0.87
21,10000,Ridge,0.9
21,10000,Lasso,0.7
21,10000,ElasticNet,0.9
21,10000,Random Forest,0.77
21,10000,SVR,0.9
21,All,Ridge,0.51
21,All,Lasso,0.59
21,All,ElasticNet,0.37
21,All,Random Forest,0.63
21,All,SVR,0.54
22,10,Ridge,0.78
22,10,Lasso,0.79
22,10,ElasticNet,0.79
22,10,Random Forest,0.69
22,10,SVR,0.78
22,52,Ridge,0.82
22,52,Lasso,0.79
22,52,ElasticNet,0.83
22,52,Random Forest,0.76
22,52,SVR,0.8
22,100,Ridge,0.81
22,100,Lasso,0.81
22,100,ElasticNet,0.84
22,100,Random Forest,0.79
22,100,SVR,0.8
22,500,Ridge,0.88
22,500,Lasso,0.73
22,500,ElasticNet,0.89
22,500,Random Forest,0.8
22,500,SVR,0.91
22,2000,Ridge,0.73
22,2000,Lasso,0.72
22,2000,ElasticNet,0.88
22,2000,Random Forest,0.79
22,2000,SVR,0.9
22,5000,Ridge,0.88
22,5000,Lasso,0.71
22,5000,ElasticNet,0.87
22,5000,Random Forest,0.8
22,5000,SVR,0.91
22,10000,Ridge,0.89
22,10000,Lasso,0.66
22,10000,ElasticNet,0.87
22,10000,Random Forest,0.77
22,10000,SVR,0.91
22,All,Ridge,0.51
22,All,Lasso,0.51
22,All,ElasticNet,0.49
22,All,Random Forest,0.56
22,All,SVR,0.55
23,10,Ridge,0.72
23,10,Lasso,0.73
23,10,ElasticNet,0.72
23,10,Random Forest,0.74
23,10,SVR,0.72
23,52,Ridge,0.82
23,52,Lasso,0.76
23,52,ElasticNet,0.82
23,52,Random Forest,0.76
23,52,SVR,0.81
23,100,Ridge,0.86
23,100,Lasso,0.76
23,100,ElasticNet,0.86
23,100,Random Forest,0.77
23,100,SVR,0.83
23,500,Ridge,0.78
23,500,Lasso,0.72
23,500,ElasticNet,0.86
23,500,Random Forest,0.79
23,500,SVR,0.81
23,2000,Ridge,0.63
23,2000,Lasso,0.69
23,2000,ElasticNet,0.87
23,2000,Random Forest,0.79
23,2000,SVR,0.89
23,5000,Ridge,0.81
23,5000,Lasso,0.58
23,5000,ElasticNet,0.84
23,5000,Random Forest,0.78
23,5000,SVR,0.89
23,10000,Ridge,0.85
23,10000,Lasso,0.58
23,10000,ElasticNet,0.88
23,10000,Random Forest,0.8
23,10000,SVR,0.91
23,All,Ridge,0.55
23,All,Lasso,0.52
23,All,ElasticNet,0.59
23,All,Random Forest,0.65
23,All,SVR,0.58
24,10,Ridge,0.69
24,10,Lasso,0.69
24,10,ElasticNet,0.7
24,10,Random Forest,0.67
24,10,SVR,0.7
24,52,Ridge,0.82
24,52,Lasso,0.75
24,52,ElasticNet,0.82
24,52,Random Forest,0.78
24,52,SVR,0.79
24,100,Ridge,0.86
24,100,Lasso,0.77
24,100,ElasticNet,0.88
24,100,Random Forest,0.86
24,100,SVR,0.84
24,500,Ridge,0.88
24,500,Lasso,0.75
24,500,ElasticNet,0.91
24,500,Random Forest,0.83
24,500,SVR,0.93
24,2000,Ridge,0.67
24,2000,Lasso,0.71
24,2000,ElasticNet,0.9
24,2000,Random Forest,0.84
24,2000,SVR,0.93
24,5000,Ridge,0.9
24,5000,Lasso,0.61
24,5000,ElasticNet,0.88
24,5000,Random Forest,0.84
24,5000,SVR,0.93
24,10000,Ridge,0.9
24,10000,Lasso,0.7
24,10000,ElasticNet,0.89
24,10000,Random Forest,0.85
24,10000,SVR,0.93
24,All,Ridge,0.54
24,All,Lasso,0.5
24,All,ElasticNet,0.31
24,All,Random Forest,0.57
24,All,SVR,0.6
25,10,Ridge,0.78
25,10,Lasso,0.77
25,10,ElasticNet,0.78
25,10,Random Forest,0.76
25,10,SVR,0.78
25,52,Ridge,0.79
25,52,Lasso,0.77
25,52,ElasticNet,0.79
25,52,Random Forest,0.78
25,52,SVR,0.8
25,100,Ridge,0.85
25,100,Lasso,0.79
25,100,ElasticNet,0.85
25,100,Random Forest,0.84
25,100,SVR,0.85
25,500,Ridge,0.82
25,500,Lasso,0.76
25,500,ElasticNet,0.87
25,500,Random Forest,0.86
25,500,SVR,0.86
25,2000,Ridge,0.71
25,2000,Lasso,0.74
25,2000,ElasticNet,0.89
25,2000,Random Forest,0.81
25,2000,SVR,0.89
25,5000,Ridge,0.9
25,5000,Lasso,0.69
25,5000,ElasticNet,0.87
25,5000,Random Forest,0.81
25,5000,SVR,0.89
25,10000,Ridge,0.89
25,10000,Lasso,0.74
25,10000,ElasticNet,0.88
25,10000,Random Forest,0.81
25,10000,SVR,0.89
25,All,Ridge,0.5
25,All,Lasso,0.64
25,All,ElasticNet,0.63
25,All,Random Forest,0.63
25,All,SVR,0.57
26,10,Ridge,0.65
26,10,Lasso,0.66
26,10,ElasticNet,0.66
26,10,Random Forest,0.59
26,10,SVR,0.69
26,52,Ridge,0.75
26,52,Lasso,0.71
26,52,ElasticNet,0.78
26,52,Random Forest,0.74
26,52,SVR,0.69
26,100,Ridge,0.82
